"","equal.weight","cap.weight","twse","M1_Q1","M1_Q2","M1_Q3","M1_Q4","M1_Q5","M1_Q6","M1_Q7","M1_Q8","M1_Q9","M1_Q10"
"Period","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017","Jan1990 - Dec2017"
"Cagr","9.18","7.22","4.2","10.33","6.4","7.44","6.64","8.23","9.54","8.83","11.14","10.15","8.54"
"Sharpe","0.47","0.41","0.29","0.47","0.36","0.41","0.38","0.44","0.49","0.47","0.54","0.5","0.43"
"DVR","0.39","0.35","0.15","0.39","0.29","0.33","0.29","0.34","0.39","0.37","0.45","0.41","0.36"
"Volatility","25.02","23.29","23.9","30.87","27.8","25.22","24.8","24.78","24.22","24.43","25.24","26.33","28.6"
"MaxDD","-60.59","-63.51","-63.87","-52.32","-54.47","-64.63","-63.57","-68.96","-68.08","-70.71","-61.53","-64.41","-70.08"
"AvgDD","-16.09","-14.11","-18.73","-16.5","-22.81","-17.85","-19.61","-16.65","-15.7","-17.16","-15.11","-13.3","-23.04"
"VaR","-10.65","-10.06","-10.77","-12.36","-11.83","-10.62","-10.18","-10.75","-9.85","-10.94","-9.92","-10.58","-11.67"
"CVaR","-13.7","-13.98","-13.59","-16.85","-15.1","-14.39","-13.95","-14","-13.27","-13.52","-13.98","-14.71","-15.34"
"Exposure","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99","88.99"
